buy_date,sell_date,stocks,return,value
2005-07-01,2005-09-30,15,0.04686454860708616,1046864.5486070862
2006-01-04,2006-03-31,33,0.06926761679011238,1119378.3609911557
2006-04-03,2006-06-30,41,0.3200911812378559,1477681.50281291
2008-01-02,2008-03-31,49,-0.22158130090287903,1150254.9130995038
2008-04-01,2008-06-30,50,-0.29373634535433857,812383.2386997833
2008-10-06,2008-12-31,48,-0.08053516949599819,746957.8168753884
2009-01-05,2009-03-31,49,0.6729771749109081,1249643.3782538066
2009-04-01,2009-06-30,50,0.13764612337815643,1421651.9448756264
2009-07-01,2009-09-30,50,-0.010738299968137665,1406385.8198412654
2009-10-09,2009-12-31,50,0.26398605247170426,1777652.0606733428
2010-01-04,2010-03-31,47,0.1611845590577268,2064182.124231035
2010-04-01,2010-06-30,50,-0.21022516769425234,1630239.0910130874
2010-07-01,2010-09-30,50,0.38311473585159844,2254807.7097415165
2010-10-08,2010-12-31,50,0.0036089714849382036,2262945.246469992
2011-01-04,2011-03-31,50,0.062031095790178556,2403318.2198217018
2011-04-01,2011-06-30,50,-0.05530656251268651,2270398.9504592544
2011-07-01,2011-09-30,50,-0.14251709302284765,1946828.2920376773
2012-10-08,2012-12-31,50,0.0438520471707541,2032200.6981334724
2013-07-01,2013-09-30,50,0.2647951346498654,2570317.5556312758
2013-10-08,2013-12-31,47,0.006853603689887962,2587933.493514734
2014-01-02,2014-03-31,50,0.05636774285733006,2733809.4632090447
2014-04-01,2014-06-30,50,0.046208429410529626,2860134.5048115775
2014-07-01,2014-09-30,50,0.27487914022449134,3646325.8184205857
2014-10-08,2014-12-31,50,-0.051833963758532484,3457322.298096772
2015-01-05,2015-03-31,50,0.3961045048105185,4826783.234954758
2015-04-01,2015-06-30,50,0.3178106215830388,6360786.21510232
2015-07-01,2015-09-30,50,-0.2892678671643478,4520815.153171287
2015-10-08,2015-12-31,50,0.39224658190744643,6294089.444438113
2016-01-04,2016-03-31,50,-0.14145500742477854,5403758.9753429
2016-04-01,2016-06-30,50,0.05244101021530208,5687137.554969887
2016-07-01,2016-09-30,50,-0.01478377976777151,5603060.16584819
2017-01-03,2017-03-31,50,-0.03753028215379723,5392775.7368992055
2017-04-05,2017-06-30,50,-0.09686503889145257,4870404.305411582
2019-07-01,2019-09-30,50,-0.013353717931512781,4805366.300104691
2019-10-08,2019-12-31,50,0.061767870363592985,5102183.5427791355
2020-01-02,2020-03-31,50,0.04295096890332345,5321327.2694640905
2020-04-01,2020-06-30,50,0.21564081868031945,6468822.638317236
2020-07-01,2020-09-30,50,0.0676779322289023,6906619.178434058
2020-10-09,2020-12-31,50,0.002850350129944279,6926305.461306782
2021-01-04,2021-03-31,50,-0.052107245613536114,6565394.761440094
2021-04-01,2021-06-30,50,0.2932964457114663,8491001.709663153
2021-07-01,2021-09-30,50,0.0246269499870726,8700109.184107175
2021-10-08,2021-12-31,50,0.03652054634364063,9017841.924760096
2022-01-04,2022-03-31,50,-0.12398275162073613,7899785.069247504
2022-04-01,2022-06-30,50,0.06947962914924183,8448659.206217539
2022-07-01,2022-09-30,50,-0.1110215529065583,7510675.941164977
2023-01-03,2023-03-31,50,0.0319249151489647,7750453.633298039
2023-04-03,2023-06-30,50,-0.03921894464788523,7446489.021257723
2024-07-01,2024-09-30,49,0.11948614674523358,8336241.301188493
2024-10-08,2024-12-31,49,-0.056669213109535856,7863833.066358928
2025-01-02,2025-03-31,50,0.010443833651516079,7945961.630767272
2025-04-01,2025-06-30,50,0.16201232251268433,9233305.329164555
2025-07-01,2025-09-30,50,0.23167847837147165,11372463.458164599
2025-10-09,2025-12-31,50,0.031619961830084795,11732060.318625797
2026-01-05,2026-03-31,50,0.034069236740770774,12131762.65907806
2026-04-01,2026-06-30,50,0.2685570986079437,15389833.639800256
