date,value
2005-09-30,1046864.5486070862
2006-03-31,1119378.3609911557
2006-06-30,1477681.50281291
2008-03-31,1150254.9130995038
2008-06-30,812383.2386997833
2008-12-31,746957.8168753884
2009-03-31,1249643.3782538066
2009-06-30,1421651.9448756264
2009-09-30,1406385.8198412654
2009-12-31,1777652.0606733428
2010-03-31,2064182.124231035
2010-06-30,1630239.0910130874
2010-09-30,2254807.7097415165
2010-12-31,2262945.246469992
2011-03-31,2403318.2198217018
2011-06-30,2270398.9504592544
2011-09-30,1946828.2920376773
2012-12-31,2032200.6981334724
2013-09-30,2570317.5556312758
2013-12-31,2587933.493514734
2014-03-31,2733809.4632090447
2014-06-30,2860134.5048115775
2014-09-30,3646325.8184205857
2014-12-31,3457322.298096772
2015-03-31,4826783.234954758
2015-06-30,6360786.21510232
2015-09-30,4520815.153171287
2015-12-31,6294089.444438113
2016-03-31,5403758.9753429
2016-06-30,5687137.554969887
2016-09-30,5603060.16584819
2017-03-31,5392775.7368992055
2017-06-30,4870404.305411582
2019-09-30,4805366.300104691
2019-12-31,5102183.5427791355
2020-03-31,5321327.2694640905
2020-06-30,6468822.638317236
2020-09-30,6906619.178434058
2020-12-31,6926305.461306782
2021-03-31,6565394.761440094
2021-06-30,8491001.709663153
2021-09-30,8700109.184107175
2021-12-31,9017841.924760096
2022-03-31,7899785.069247504
2022-06-30,8448659.206217539
2022-09-30,7510675.941164977
2023-03-31,7750453.633298039
2023-06-30,7446489.021257723
2024-09-30,8336241.301188493
2024-12-31,7863833.066358928
2025-03-31,7945961.630767272
2025-06-30,9233305.329164555
2025-09-30,11372463.458164599
2025-12-31,11732060.318625797
2026-03-31,12131762.65907806
2026-06-30,15389833.639800256
